article_id,category,title,date,positive_score,neutral_score,negative_score
0,health,Covid Scotland: Travel industry 'left guessing' by lack of decision on PCR testing in Scotland,,1.0,0.1,0.0
1,health,Extell Development Company Announces Class A Medical Office Building On Upper East Side,,0.8,0.1,0.2
2,health,"Right food can help beat depression, say nutritionists",,1.0,0.0,0.0
3,health,"COVID-19 Can Damage Blood Vessels in The Brain, Causing Neurological Symptoms",,1.0,0.0,0.0
4,health,"These Scalp Massagers Claim to Promote Hair Growth, so Sign Me and My Tresses up",,0.8,0.0,0.0
5,health,Pilot Program Suggests Paying People to Get Vaxxed Might Actually Work,,0.8,0.0,0.2
6,health,"Parents more hesitant to vaccinate kids than themselves, researcher says - paNOW",,1.0,0.0,0.2
7,health,"B.C.’s COVID-19 case rate starts to decline, 20 more deaths in 3 days - Mission City Record",,0.8,0.1,0.2
8,health,"Children’s Health Defense, Robert F. Kennedy, Jr. and Meryl Nass, MD Tell FDA Advisory Committee: Approval of the COVID Vaccine for Young Children Will Put Millions at Serious Risk",,0.8,0.1,0.0
9,health,"James Michael Tyler, who played Gunther in 'Friends,' dies of prostate cancer",,0.8,0.0,0.0
10,health,"NHS maternity services near breaking point, warns top doctor - The Guardian",,1.0,0.1,0.0
11,health,Ask people to follow Covid norms during festivities: I&B to Pvt channels,,0.8,0.0,0.2
12,health,"Parents more hesitant to vaccinate kids than themselves, researcher says - Victoria News",,1.0,0.1,0.0
13,health,Ed Sheeran tests COVID-19 positive days before album release,,0.5,0.5,0.0
14,health,New study suggests breastfeeding may help prevent cognitive decline,,0.8,0.1,0.0
15,health,Bio-Rad introduces CFX Opus Dx real-time PCR detection systems for IVD use,,1.0,0.1,0.2
16,health,"N.S. reports 99th COVID-19 related death, 57 new cases over the weekend - CTV News Atlantic",,1.0,0.0,0.0
17,health,Decreasing length of hospitalization increases post-discharge complications for surgical patients,,0.8,0.1,0.2
18,health,NIH to invest $70M to bring more at-home COVID-19 tests to market,,1.0,0.0,0.2
19,health,"26 additional COVID-19 related deaths, 165 new cases reported across nine states, FCT",,0.8,0.2,0.2
20,health,4 Ways to Trim Your Nose Hairs Safely at Home,,1.0,0.2,0.1
21,health,ERs are now swamped with seriously ill patients — but most don't even have COVID,,0.4,0.5,0.0
22,health,Is the 'worst lurgy ever' going around? Why colds will be worse this winter,,1.0,0.0,0.0
23,health,'I'm not a fan of mandatory!' Dr Amir hits out at Britons being forced to take the booster,,1.0,0.1,0.2
24,health,Researchers identify genes that cause resistance to treatment of Candida glabrata fungus,,1.0,0.1,0.0
25,health,Moderna Covid vaccine has strong results in children ages 6 to 11,,0.8,0.1,0.0
26,health,Eligible travelers to England can now take a cheaper lateral flow test,,1.0,0.0,0.0
27,health,Global WholeHealth Partners inks MOU for COVID-19 antigen test,,0.8,0.0,0.0
28,health,Why women may wait decades for an ADHD diagnosis - BBC News,,1.0,0.0,0.2
29,health,Queensland vaccine rollout struggling to keep up with reopening plan | 9 News Australia - 9 News Australia,,0.8,0.0,0.2
30,health,New Delta Plus COVID-19 strain on rise in UK: Is variant more contagious? Should India be worried? - Firstpost,,1.0,0.0,0.0
31,health,Cellectar collaborates with BBK Worldwide for concierge service for patients in trials,,0.8,0.1,0.2
32,health,"New COVID cases surge in Eastern Europe, as region experiences worse outbreak of the pandemic",,0.8,0.0,0.0
33,health,‘Smart bandage’ could help doctors to monitor chronic wounds more easily,,0.8,0.0,0.0
34,health,"PetMed Express, Inc. (PETS) CEO Matt Hulett on Q2 2022 Results - Earnings Call Transcript",,0.8,0.1,0.0
35,health,"In an Astonishing Feat, Astronomers Present Evidence of an Extra-Galactic Planet",,0.8,0.0,0.2
